game_pk,official_date,season,home_team,away_team,corte,inicio_utc,dif_pitagorica,dif_descanso,n_previos_local,n_previos_visita,p_v1,p_tasa_base,p_mercado,resultado_local,brier_v1,brier_tasa_base,brier_mercado
824189,2026-06-02,2026,Houston Astros,Pittsburgh Pirates,2026-06-02T17:00:00+00:00,2026-06-03T00:10:00+00:00,-0.03328078992028005,0.0,162,162,0.507300563324693,0.5400813591768365,0.5051020408163266,0,0.2573538615495508,0.2916878745302991,0.25512807163681805
824511,2026-06-02,2026,Cincinnati Reds,Kansas City Royals,2026-06-02T17:00:00+00:00,2026-06-02T23:10:00+00:00,-0.0037214688511700844,0.0,162,162,0.5376476005805175,0.5400813591768365,0.530456852791878,1,0.21376974124895265,0.21152515617662604,0.2204707670901081
824754,2026-06-02,2026,Boston Red Sox,Baltimore Orioles,2026-06-02T17:00:00+00:00,2026-06-02T22:45:00+00:00,0.04825871360145456,0.0,162,162,0.5902105866572358,0.5400813591768365,0.5566750629722922,0,0.34834853660227844,0.2916878745302991,0.3098871257352055
824918,2026-06-02,2026,Atlanta Braves,Toronto Blue Jays,2026-06-02T17:00:00+00:00,2026-06-02T23:15:00+00:00,0.03439810994542769,0.0,162,162,0.5763440712308694,0.5400813591768365,0.5204081632653061,1,0.17948434598123467,0.21152515617662604,0.23000832986255726
825079,2026-06-02,2026,Arizona Diamondbacks,Los Angeles Dodgers,2026-06-02T17:00:00+00:00,2026-06-03T01:40:00+00:00,-0.1147305830891377,0.0,162,162,0.42407720825635276,0.5400813591768365,0.47959183673469385,0,0.179841478562502,0.2916878745302991,0.23000832986255726
822727,2026-06-03,2026,Washington Nationals,Miami Marlins,2026-06-03T17:00:00+00:00,2026-06-03T17:05:00+00:00,-0.028599948725192337,0.0,162,162,0.5121155120922414,0.5400813591768365,0.49109414758269715,0,0.26226229772549864,0.2916878745302991,0.24117346178997592
822973,2026-06-03,2026,Tampa Bay Rays,Detroit Tigers,2026-06-03T17:00:00+00:00,2026-06-03T17:10:00+00:00,0.0037638534558209757,0.0,162,162,0.545297195111715,0.5400813591768365,0.565,0,0.29734903099670384,0.2916878745302991,0.3192249999999999
823051,2026-06-03,2026,St. Louis Cardinals,Texas Rangers,2026-06-03T17:00:00+00:00,2026-06-03T23:45:00+00:00,-0.0954099676583412,0.0,162,162,0.44360823220324774,0.5400813591768365,0.5178571428571429,1,0.3095717992719951,0.21152515617662604,0.23246173469387751
823130,2026-06-03,2026,Seattle Mariners,New York Mets,2026-06-03T17:00:00+00:00,2026-06-03T19:40:00+00:00,0.005995817065711728,0.0,162,162,0.5475741746488737,0.5400813591768365,0.5725,0,0.29983747674239525,0.2916878745302991,0.32775625
823456,2026-06-03,2026,Philadelphia Phillies,San Diego Padres,2026-06-03T17:00:00+00:00,2026-06-03T22:40:00+00:00,-0.015847390628632607,0.0,162,162,0.5252194362607644,0.5400813591768365,0.6597701149425287,1,0.22541658370454637,0.21152515617662604,0.11575637468622015
823540,2026-06-03,2026,New York Yankees,Cleveland Guardians,2026-06-03T17:00:00+00:00,2026-06-03T23:05:00+00:00,0.03979240714054799,0.0,162,162,0.5817562418648977,0.5400813591768365,0.5806451612903225,0,0.33844032494876936,0.2916878745302991,0.33714880332986463
823701,2026-06-03,2026,Minnesota Twins,Chicago White Sox,2026-06-03T17:00:00+00:00,2026-06-03T17:40:00+00:00,-0.048572356391624216,0.0,162,162,0.491566153633985,0.5400813591768365,0.5785536159600998,0,0.24163728339851054,0.2916878745302991,0.3347242865405066
823780,2026-06-03,2026,Milwaukee Brewers,San Francisco Giants,2026-06-03T17:00:00+00:00,2026-06-03T23:40:00+00:00,0.09619431840753118,0.0,162,162,0.6369493558960724,0.5400813591768365,0.5831265508684863,0,0.40570448197642145,0.2916878745302991,0.34003657432777734
824024,2026-06-03,2026,Los Angeles Angels,Colorado Rockies,2026-06-03T17:00:00+00:00,2026-06-04T01:38:00+00:00,0.01852104133044391,0.0,162,162,0.5603124569820433,0.5400813591768365,0.5796019900497512,1,0.19332513548516747,0.21152515617662604,0.17673448677012948
824188,2026-06-03,2026,Houston Astros,Pittsburgh Pirates,2026-06-03T17:00:00+00:00,2026-06-04T00:10:00+00:00,-0.0411836933761347,0.0,162,162,0.499168630094609,0.5400813591768365,0.4133663366336633,1,0.2508320610813106,0.21152515617662604,0.34413905499460845
824509,2026-06-03,2026,Cincinnati Reds,Kansas City Royals,2026-06-03T17:00:00+00:00,2026-06-03T23:10:00+00:00,-0.0027285131589714906,0.0,162,162,0.5386634472055659,0.5400813591768365,0.5901234567901236,0,0.2901583093553835,0.2916878745302991,0.3482456942539248
824755,2026-06-03,2026,Boston Red Sox,Baltimore Orioles,2026-06-03T17:00:00+00:00,2026-06-03T22:45:00+00:00,0.044353620348072886,0.0,162,162,0.5863173137147936,0.5400813591768365,0.5876543209876544,1,0.17113336493214454,0.21152515617662604,0.17002895900015239
824917,2026-06-03,2026,Atlanta Braves,Toronto Blue Jays,2026-06-03T17:00:00+00:00,2026-06-03T23:15:00+00:00,0.036448803942303765,0.0,162,162,0.5784037926834785,0.5400813591768365,0.568922305764411,1,0.17774336202367536,0.21152515617662604,0.18582797846747193
825077,2026-06-03,2026,Arizona Diamondbacks,Los Angeles Dodgers,2026-06-03T17:00:00+00:00,2026-06-04T01:40:00+00:00,-0.11631369968588862,0.0,162,162,0.4224864630517365,0.5400813591768365,0.3672985781990522,0,0.1784948114619663,0.2916878745302991,0.13490824554704528
823457,2026-06-04,2026,Philadelphia Phillies,San Diego Padres,2026-06-04T17:00:00+00:00,2026-06-04T17:05:00+00:00,-0.020299827630444023,0.0,162,162,0.5206473439587624,0.5400813591768365,0.6582568807339451,1,0.229778968853789,0.21152515617662604,0.11678835956569306
823542,2026-06-04,2026,New York Yankees,Cleveland Guardians,2026-06-04T17:00:00+00:00,2026-06-04T17:35:00+00:00,0.04090033804186677,0.0,162,162,0.5828654560595574,0.5400813591768365,0.6004901960784313,1,0.17400122774840102,0.21152515617662604,0.15960808342945024
823698,2026-06-04,2026,Minnesota Twins,Kansas City Royals,2026-06-04T17:00:00+00:00,2026-06-04T23:40:00+00:00,-0.028413445723100117,0.0,162,162,0.5123073178223436,0.5400813591768365,0.48469387755102045,0,0.2624587878943238,0.2916878745302991,0.2349281549354436
823779,2026-06-04,2026,Milwaukee Brewers,San Francisco Giants,2026-06-04T17:00:00+00:00,2026-06-04T18:10:00+00:00,0.08976256538416699,0.0,162,162,0.6308053964324637,0.5400813591768365,0.6367924528301887,0,0.3979154481683177,0.2916878745302991,0.4055046279814881
