game_pk,official_date,season,home_team,away_team,corte,y,dif_concentracion,hhi_local,hhi_visita,brazos_local,brazos_visita,dif_carga_relevo,p_v12,p_v16,p_mercado,brier_v12,brier_v16,brier_mercado,delta_brier_v16_v12
823063,2026-05-06,2026,St. Louis Cardinals,Milwaukee Brewers,2026-05-06T17:00:00+00:00,0,-0.06185654488495754,0.1747397012222725,0.23659624610723004,7,5,-0.15,0.4162975261791634,0.41984706767132474,0.5076530612244898,0.17330363030289123,0.17627156023220994,0.2577116305705956,0.0029679299293187134
823141,2026-05-06,2026,Seattle Mariners,Atlanta Braves,2026-05-06T17:00:00+00:00,1,0.04735819514572151,0.1920166015625,0.1446584064167785,6,8,-0.51,0.4874895341445251,0.4842563564801478,0.547979797979798,0.2626669776113959,0.2659915058311323,0.20432226303438422,0.003324528219736389
823226,2026-05-06,2026,San Francisco Giants,San Diego Padres,2026-05-06T17:00:00+00:00,0,-0.0031671878636417294,0.1500551304754586,0.15322231833910033,8,8,0.37,0.5010181252267675,0.5009797135612358,0.49744897959183665,0.25101916180574485,0.2509806733998979,0.24745548729695951,-3.848840584697033e-05
823550,2026-05-06,2026,New York Yankees,Texas Rangers,2026-05-06T17:00:00+00:00,0,-0.2467553316115135,0.19995538370017849,0.446710715311692,7,3,1.05,0.5508563778537034,0.5660173306470525,0.6431924882629109,0.3034427490221021,0.32037561859281477,0.41369657695783474,0.01693286957071266
823872,2026-05-06,2026,Miami Marlins,Baltimore Orioles,2026-05-06T17:00:00+00:00,0,-0.0025947415595490853,0.1397501487209994,0.14234489028054848,9,9,0.06,0.55797823658836,0.5579203107854714,0.5541561712846348,0.3113397125062558,0.311275073186957,0.3070890621728455,-6.463931929878708e-05
824036,2026-05-06,2026,Los Angeles Angels,Chicago White Sox,2026-05-06T17:00:00+00:00,1,-0.0834791784650474,0.1674957703088306,0.250974948773878,8,4,0.76,0.4919505270765588,0.496985294530819,0.49109414758269715,0.2581142669377865,0.2530237939182468,0.2589851666245817,-0.0050904730195396874
824118,2026-05-06,2026,Kansas City Royals,Cleveland Guardians,2026-05-06T17:00:00+00:00,0,-0.05600427997320889,0.2266508030933968,0.2826550830666057,6,4,-0.8,0.5231575421545475,0.5264568488060523,0.5566750629722922,0.2736938139131871,0.27715681365479855,0.3098871257352055,0.003462999741611461
824198,2026-05-06,2026,Houston Astros,Los Angeles Dodgers,2026-05-06T17:00:00+00:00,0,0.008018468447503313,0.18687776851892463,0.1788593000714213,8,6,2.03,0.4604279119718516,0.4596760207657606,0.3348519362186788,0.21199386212275914,0.21130204406704395,0.11212581918939814,-0.0006918180557151932
824282,2026-05-06,2026,Detroit Tigers,Boston Red Sox,2026-05-06T17:00:00+00:00,0,-0.05213590809078339,0.160728295863431,0.21286420395421438,8,8,0.85,0.5163226946707105,0.5193798320185896,0.5139949109414759,0.2665891250320237,0.2697554099076584,0.2641907684737357,0.003166284875634695
824361,2026-05-06,2026,Colorado Rockies,New York Mets,2026-05-06T17:00:00+00:00,0,-0.0712936445281313,0.20902045335353414,0.28031409788166545,6,6,-0.17,0.44602936256198755,0.4502359782355619,0.3995098039215686,0.19894219226745294,0.20271243609773335,0.15960808342945018,0.0037702438302804064
824683,2026-05-06,2026,Chicago Cubs,Cincinnati Reds,2026-05-06T17:00:00+00:00,1,-0.053709807730999454,0.132922136713445,0.18663194444444445,8,7,0.44,0.5822087484310646,0.5852985618878228,0.6092233009708737,0.17454952988753744,0.17197728277230792,0.15270642850410032,-0.00257224711522952
825091,2026-05-06,2026,Arizona Diamondbacks,Pittsburgh Pirates,2026-05-06T17:00:00+00:00,0,0.11870747617998378,0.3864197530864197,0.2677122769064359,5,4,0.04,0.5182306029169539,0.5105000658249211,0.4593908629441624,0.26856295779966954,0.2606103172072488,0.21103996495658223,-0.007952640592420734
822741,2026-05-07,2026,Washington Nationals,Minnesota Twins,2026-05-07T17:00:00+00:00,1,0.03956231476473773,0.22228231476473773,0.18272,5,6,0.04,0.5193358177495769,0.516605187369281,0.5355329949238579,0.23103805609846792,0.23367054487828798,0.21572959880440104,0.002632488779820058
823306,2026-05-07,2026,San Diego Padres,St. Louis Cardinals,2026-05-07T17:00:00+00:00,0,0.004480124679573733,0.1993383477419556,0.19485822306238187,9,7,0.64,0.6113381158458606,0.6108717025382245,0.6039119804400979,0.3737342918859669,0.37316423696194906,0.36470968011908117,-0.0005700549240178487
823870,2026-05-07,2026,Miami Marlins,Baltimore Orioles,2026-05-07T17:00:00+00:00,1,0.02286742351957005,0.18383628165105795,0.1609688581314879,9,8,0.16,0.5529556408725967,0.5513042539507685,0.5417721518987342,0.1998486590276307,0.20132787252267642,0.20997276077551674,0.0014792134950457336
824117,2026-05-07,2026,Kansas City Royals,Cleveland Guardians,2026-05-07T17:00:00+00:00,0,0.005632179244873886,0.17241379310344826,0.16678161385857437,8,7,0.17,0.523128520266551,0.5225412868217109,0.565,0.27366344871627124,0.2730493964332895,0.3192249999999999,-0.0006140522829817252
824362,2026-05-07,2026,Colorado Rockies,New York Mets,2026-05-07T17:00:00+00:00,1,0.21388099879297737,0.39881232915449144,0.18493133036151407,4,8,-0.94,0.44106238339151166,0.42752685454799455,0.4228855721393035,0.3124112592599774,0.327725502263713,0.3330610628449791,0.015314243003735573
824681,2026-05-07,2026,Chicago Cubs,Cincinnati Reds,2026-05-07T17:00:00+00:00,1,-0.02112220276549226,0.13590027700831026,0.15702247977380251,9,9,0.01,0.590854062125513,0.5919382844355825,0.6318289786223278,0.1674003984791936,0.16651436370937558,0.13554990098227837,-0.0008860347698180226
824767,2026-05-07,2026,Boston Red Sox,Tampa Bay Rays,2026-05-07T17:00:00+00:00,0,0.08317460014895536,0.25294785570792205,0.1697732555589667,7,7,0.63,0.5803079465348151,0.5749662767711121,0.5127551020408163,0.3367573128114538,0.3305862194240351,0.2629177946688879,-0.006171093387418725
825090,2026-05-07,2026,Arizona Diamondbacks,Pittsburgh Pirates,2026-05-07T17:00:00+00:00,0,-0.06446598757435679,0.20707596253902188,0.27154195011337867,5,4,-0.22,0.5150904790937717,0.5189260820266346,0.5228426395939086,0.26531820165305126,0.26928427860751347,0.27336442577752584,0.0039660769544622165
822822,2026-05-08,2026,Toronto Blue Jays,Los Angeles Angels,2026-05-08T17:00:00+00:00,1,0.03441083385367247,0.21760861207227988,0.18319777821860742,5,6,-0.4,0.6489864576308944,0.6468226743742406,0.5901234567901236,0.12321050692650792,0.12473422333616371,0.1679987806736777,0.0015237164096557898
822904,2026-05-08,2026,Texas Rangers,Chicago Cubs,2026-05-08T17:00:00+00:00,0,0.10701902114798303,0.2423584847169694,0.13533946356898638,6,9,-0.9,0.5581713694588312,0.5512680509459368,0.44584382871536526,0.311555277683547,0.30389646399373194,0.19877671960357596,-0.0076588136898150805
823225,2026-05-08,2026,San Francisco Giants,Pittsburgh Pirates,2026-05-08T17:00:00+00:00,1,-0.02568427274419305,0.16556452594425738,0.19124879868845043,7,6,0.24,0.4878902844125527,0.49279606351029115,0.5025510204081632,0.26225636079905607,0.2572558331906566,0.24745548729695963,-0.005000527608399474
823303,2026-05-08,2026,San Diego Padres,St. Louis Cardinals,2026-05-08T17:00:00+00:00,0,-0.08052660218133909,0.18598015201636323,0.2665067541977023,8,5,1.1,0.6063604980389693,0.6110108363039702,0.5760598503740648,0.36767305358206687,0.3733342420808771,0.33184495121298996,0.0056611884988102545
823466,2026-05-08,2026,Philadelphia Phillies,Colorado Rockies,2026-05-08T17:00:00+00:00,0,-0.2262251123696165,0.16393996755002704,0.39016507991964355,9,4,0.65,0.6597434555217927,0.6722934286625152,0.6613272311212814,0.43526142710383564,0.45197845422280036,0.4373537066225408,0.016717027118964722
823794,2026-05-08,2026,Milwaukee Brewers,New York Yankees,2026-05-08T17:00:00+00:00,1,0.14827293798405786,0.2773545706371191,0.12908163265306125,4,9,-2.04,0.5343108389142389,0.5282597699457222,0.4607594936708861,0.21686639475275993,0.22253884465166293,0.29078032366607914,0.005672449898903004
